Gene,SA3170,SA3173,SA3309,SA3326,SA3331,SA3336,SA3174,SA3195,SA3198,SA3318,SA3337,SA3338,,baseMean,log2FoldChange (LUAD/AdenomaG),lfcSE,pvalue,padj,ENTREZ_ID,Gene_name
Sprtn,7.646040837,7.78196441,8.19153818,8.39591831,8.283846378,7.560478231,8.179053985,7.959291616,7.984670498,7.889236992,6.777063877,7.905289558,,244.041875,-0.121612889,0.212970046,0.492392502,0.707458524,244666,SprT-like N-terminal domain
Spry1,11.35339997,11.47204362,11.60922526,11.48397173,11.72362574,11.28743764,10.87736615,11.03092384,11.53048236,9.899040167,11.57862378,10.79389254,,2503.94581,-0.343987499,0.233377626,0.071708632,0.212178426,24063,sprouty RTK signaling antagonist 1
Spry2,10.94399923,11.07777529,11.09842878,11.05588524,11.42673326,11.1067372,10.64300108,11.4370041,11.46003714,10.73632282,11.77337883,10.59494944,,2279.422489,0.042691112,0.19421405,0.803313262,0.907676103,24064,sprouty RTK signaling antagonist 2
Spry4,9.313313691,9.705691669,9.759109078,10.38584124,9.427159649,9.793138988,10.24390513,9.597653811,10.20659656,10.3294644,9.165169049,9.567904615,,920.0180821,0.100034303,0.212249763,0.57386378,0.767985257,24066,sprouty RTK signaling antagonist 4
Spryd3,10.50853731,9.964086502,9.876664843,10.06222677,10.06239536,9.842830815,9.939050548,9.557251457,10.09612486,9.890875488,10.13533382,9.741790826,,1017.687615,-0.141812286,0.144814953,0.28868238,0.522701324,223918,SPRY domain containing 3
Spryd4,7.837660909,7.923384165,7.634590055,7.742406333,7.579162743,8.340911855,7.758478303,7.912856043,7.796680781,7.420760233,7.988902521,9.080376265,,253.8701021,0.15841492,0.235924756,0.402138585,0.632593457,66701,SPRY domain containing 4
Spryd7,9.393623538,9.099091519,8.792131333,9.375693282,8.752494346,9.13408087,8.618753539,9.285131223,8.495975957,8.282802961,9.364477857,10.11384422,,564.8705015,0.036205218,0.237796083,0.848619411,0.932426711,66674,SPRY domain containing 7
Spsb1,8.252698408,8.170396553,8.433996225,8.970803738,8.226207753,8.063976632,8.99663804,8.210308046,7.991183805,10.59872816,8.286475345,8.433757173,,439.8275896,0.391599546,0.379847371,0.096397443,0.258727018,74646,splA/ryanodine receptor domain and SOCS box containing 1
Spsb2,9.318466179,8.725764272,8.685694396,8.581012189,8.813781467,9.13408087,8.305966098,8.962551945,9.292164961,7.707790121,8.923905266,8.995487367,,459.6556772,-0.079258678,0.21629747,0.655812981,0.822777054,14794,splA/ryanodine receptor domain and SOCS box containing 2
Spsb3,9.408196339,9.056139374,9.034812677,8.811792396,9.042495799,9.267431257,8.909371203,8.710547868,8.914444362,9.079420833,9.249816875,8.639593353,,521.6735634,-0.159834699,0.141456767,0.222513956,0.44510868,79043,splA/ryanodine receptor domain and SOCS box containing 3
