k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
125	3	31	0.14061381	-0.061939482	AB	0	0	0.16017422	0.0086151607	AA	0.00137992664529715	0	ct2VSct5	-0.0100894731987436	-0.00137992664529715	0
126	3	32	0.14061381	0.093314979	AA	0.01312137472726	0	0.16017422	0.13175122	AA	0.0211031488975484	0	ct2VSct5	-0.00798177417028841	-0.0079817741702884	0
127	3	33	0.14061381	-0.11083278	AB	0	0	0.16017422	-0.13591568	AB	0	0	ct2VSct5	0.0061855685610778	0	0
128	3	34	0.14061381	-0.17001925	AB	0	0	0.16017422	-0.20408624	AB	0	0	ct2VSct5	0.0087822997888903	0	0
129	3	35	0.14061381	0.0060066249	AA	0.000844614412429869	0	0.16017422	0.085631547	AA	0.0137159662481183	0	ct2VSct5	-0.0128713518356885	-0.0128713518356884	0
130	3	36	0.14061381	-0.02883865	AB	0	0	0.16017422	0.054590767	AA	0.00874403352342674	0	ct2VSct5	-0.0127991459751832	-0.00874403352342674	0
131	3	37	0.14061381	0.1362983	AA	0.019165423259523	0	0.16017422	0.13175867	AA	0.0211043421954874	0	ct2VSct5	-0.0019389189359644	-0.0019389189359644	0
132	3	38	0.14061381	-0.11748793	AB	0	0	0.16017422	-0.14552101	AB	0	0	ct2VSct5	0.0067882888040489	0	0
133	3	39	0.14061381	0.18710115	AA	0.0263090055568815	0	0.16017422	0.21221508	AA	0.0339913849112376	0	ct2VSct5	-0.0076823793543561	-0.0076823793543561	0
134	3	40	0.14061381	0.18804056	AA	0.0264410995761336	0	0.16017422	0.22661106	AA	0.0362972497788732	0	ct2VSct5	-0.0098561502027396	-0.0098561502027396	0
135	3	41	0.14061381	0.18964921	AA	0.0266672979815901	0	0.16017422	0.22850003	AA	0.0365998140752266	0	ct2VSct5	-0.00993251609363649	-0.0099325160936365	0
136	3	42	0.14061381	0.15865292	AA	0.0223087915488252	0	0.16017422	0.1785571	AA	0.028600244217962	0	ct2VSct5	-0.0062914526691368	-0.0062914526691368	0
137	3	43	0.14061381	-0.1823701	AB	0	0	0.16017422	-0.20891748	AB	0	0	ct2VSct5	0.0078194398122846	0	0
138	3	44	0.14061381	-0.17777604	AB	0	0	0.16017422	-0.20660961	AB	0	0	ct2VSct5	0.0080957668151418	0	0
139	3	45	0.14061381	0.088799464	AA	0.0124864309589978	0	0.16017422	0.11991098	AA	0.0192066476909356	0	ct2VSct5	-0.00672021673193776	-0.0067202167319378	0
140	3	46	0.14061381	-0.083378426	AB	0	0	0.16017422	-0.14745745	AB	0	0	ct2VSct5	0.0118947238852759	0	0
141	3	47	0.14061381	0.15723078	AA	0.0221088190250718	0	0.16017422	0.064093326	AA	0.0102660984992557	0	ct2VSct5	0.0118427205258161	0.0118427205258161	0
142	3	48	0.14061381	0.14162452	AA	0.0199143633466212	0	0.16017422	0.036016928	AA	0.00576898334919616	0	ct2VSct5	0.014145379997425	0.014145379997425	0
143	3	49	0.14061381	0.047735823	AA	0.00671231594551563	0	0.16017422	-0.058781142	AB	0	0	ct2VSct5	0.0161275395160749	0.00671231594551563	0
144	3	50	0.14061381	0.0022084846	AA	0.000310543433932326	0	0.16017422	-0.027794689	AB	0	0	ct2VSct5	0.00476253606464991	0.000310543433932326	0
145	4	5	-0.18161297	-0.18328273	BB	0	0.0332865209450081	-0.16747195	-0.14763435	BB	0	0.0247246124814825	ct2VSct5	0.00856190846352561	0	0.0085619084635256
146	4	6	-0.18161297	0.042068575	BA	0	0	-0.16747195	0.12247223	BA	0	0	ct2VSct5	0.0128704643295308	0	0
147	4	7	-0.18161297	-0.00098194839	BB	0	0.000178334563494618	-0.16747195	0.0989969	BA	0	0	ct2VSct5	0.0167575384504496	0	0.000178334563494618
148	4	8	-0.18161297	-0.044405686	BB	0	0.00806464851934742	-0.16747195	0.0099884727	BA	0	0	ct2VSct5	0.00973743751993818	0	0.00806464851934742
149	4	9	-0.18161297	-0.17344142	BB	0	0.0314992114072174	-0.16747195	-0.1274323	BB	0	0.021341335773985	ct2VSct5	0.0101578756332324	0	0.0101578756332324
150	4	10	-0.18161297	-0.19903151	BB	0	0.0361467036546847	-0.16747195	-0.18691438	BB	0	0.031302915701641	ct2VSct5	0.0048437879530437	0	0.0048437879530437
151	4	11	-0.18161297	-0.1973125	BB	0	0.035834509143125	-0.16747195	-0.16241039	BB	0	0.0271991847135605	ct2VSct5	0.0086353244295645	0	0.0086353244295645
152	4	12	-0.18161297	-0.15190249	BB	0	0.0275874623592953	-0.16747195	0.017687445	BA	0	0	ct2VSct5	0.030549613263963	0	0.0275874623592953
153	4	13	-0.18161297	-0.087703852	BB	0	0.0159281570421604	-0.16747195	0.09036246	BA	0	0	ct2VSct5	0.0310613344251574	0	0.0159281570421604
154	4	14	-0.18161297	-0.1880073	BB	0	0.034144564134681	-0.16747195	-0.19910875	BB	0	0.0333451306245625	ct2VSct5	0.000799433510118498	0	0.000799433510118498
155	4	15	-0.18161297	-0.20745743	BB	0	0.0376769600108671	-0.16747195	-0.22389707	BB	0	0.0374964789121865	ct2VSct5	0.000180481098680602	0	0.000180481098680602
156	4	16	-0.18161297	-0.17437581	BB	0	0.0316689087502557	-0.16747195	-0.10668783	BB	0	0.0178672189313685	ct2VSct5	0.0138016898188872	0	0.0138016898188872
157	4	17	-0.18161297	-0.14796277	BB	0	0.0268719581091269	-0.16747195	-0.16114704	BB	0	0.026987609025528	ct2VSct5	-0.000115650916401099	0	-0.000115650916401099
158	4	18	-0.18161297	-0.16760507	BB	0	0.0304392545497579	-0.16747195	-0.12908324	BB	0	0.021617821915118	ct2VSct5	0.0088214326346399	0	0.0088214326346399
159	4	19	-0.18161297	-0.14024768	BB	0	0.0254707977004096	-0.16747195	-0.082187458	BB	0	0.0137640938568031	ct2VSct5	0.0117067038436065	0	0.0117067038436065
160	4	20	-0.18161297	0.054948016	BA	0	0	-0.16747195	0.10462359	BA	0	0	ct2VSct5	0.00754224425193298	0	0
161	4	21	-0.18161297	-0.0074197618	BB	0	0.00134752497719055	-0.16747195	0.021771407	BA	0	0	ct2VSct5	0.0049936249617242	0	0.00134752497719055
162	4	22	-0.18161297	-0.15307954	BB	0	0.0278012299056338	-0.16747195	-0.16762484	BB	0	0.028072458823238	ct2VSct5	-0.000271228917604199	0	-0.000271228917604199
163	4	23	-0.18161297	-0.094298444	BB	0	0.0171258204812187	-0.16747195	0.045727801	BA	0	0	ct2VSct5	0.0247839444839006	0	0.0171258204812187
164	4	24	-0.18161297	-0.15181406	BB	0	0.0275714023243582	-0.16747195	-0.072285174	BB	0	0.0121057390458693	ct2VSct5	0.0154656632784889	0	0.0154656632784889
165	4	25	-0.18161297	-0.14685121	BB	0	0.0266700843961937	-0.16747195	-0.023054218	BB	0	0.0038609348441851	ct2VSct5	0.0228091495520086	0	0.0228091495520086
166	4	26	-0.18161297	0.022230333	BA	0	0	-0.16747195	0.11066115	BA	0	0	ct2VSct5	0.0144953217795235	0	0
167	4	27	-0.18161297	-0.1369298	BB	0	0.024868227659506	-0.16747195	-0.057726404	BB	0	0.0096675534443678	ct2VSct5	0.0152006742151382	0	0.0152006742151382
168	4	28	-0.18161297	-0.19271408	BB	0	0.0349993764296176	-0.16747195	-0.20989674	BB	0	0.035151816346443	ct2VSct5	-0.000152439916825398	0	-0.000152439916825405
169	4	29	-0.18161297	-0.072474398	BB	0	0.0131622906697421	-0.16747195	-0.061097665	BB	0	0.0102321450979968	ct2VSct5	0.00293014557174531	0	0.0029301455717453
170	4	30	-0.18161297	-0.19092902	BB	0	0.0346751863813894	-0.16747195	-0.17611978	BB	0	0.029495122990171	ct2VSct5	0.0051800633912184	0	0.0051800633912184
171	4	31	-0.18161297	-0.061939482	BB	0	0.0112490132862815	-0.16747195	0.0086151607	BA	0	0	ct2VSct5	0.0126918110482739	0	0.0112490132862815
172	4	32	-0.18161297	0.093314979	BA	0	0	-0.16747195	0.13175122	BA	0	0	ct2VSct5	0.00511742324660137	0	0
